"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
7.383884375E0,-7.700392604E-2,-5.533915162E-1,1.272519529E-1
7.403884375E0,-1.001295373E-1,-6.160314083E-1,7.986626774E-2
7.423884375E0,-1.345125288E-1,-6.749711633E-1,2.785545401E-2
7.444000000E0,-1.773254573E-1,-7.272612453E-1,-3.684389964E-2
7.464779687E0,-2.225818336E-1,-7.803716063E-1,-1.264665574E-1
7.488000000E0,-2.693217695E-1,-8.331329226E-1,-2.196496874E-1
7.512000000E0,-2.779436707E-1,-8.769755960E-1,-3.005980551E-1
7.535884375E0,-2.149547487E-1,-9.125105143E-1,-3.767118752E-1
7.556000000E0,-1.193281636E-1,-9.353219271E-1,-4.312185049E-1
7.580000000E0,1.125737373E-2,-9.572083950E-1,-4.963890910E-1
7.603884375E0,1.138827354E-1,-9.721484184E-1,-5.636540651E-1
7.624000000E0,1.461364180E-1,-9.785363078E-1,-6.039362550E-1
7.648000000E0,1.247386783E-1,-9.775065780E-1,-6.376037002E-1
7.671884375E0,6.017895415E-2,-9.673138261E-1,-6.692988873E-1
7.692000000E0,-2.478367416E-3,-9.562135339E-1,-6.993534565E-1
7.716000000E0,-8.180358261E-2,-9.341874719E-1,-7.439640164E-1
7.739884375E0,-1.691223979E-1,-9.034347534E-1,-7.899360061E-1
7.760000000E0,-2.287428528E-1,-8.728740811E-1,-8.248600364E-1
7.784000000E0,-2.517288327E-1,-8.314923048E-1,-8.761203885E-1
7.807884375E0,-1.971873045E-1,-7.796036601E-1,-9.178337455E-1
7.828000000E0,-1.116138026E-1,-7.354817390E-1,-9.551314116E-1
7.852000000E0,7.452555932E-3,-6.836454868E-1,-1.012692332E0
7.875884375E0,8.370599151E-2,-6.246010065E-1,-1.038977027E0
7.896000000E0,9.124581516E-2,-5.777912736E-1,-1.043096066E0
7.920000000E0,5.050982907E-2,-5.212076902E-1,-1.034264684E0
7.943884375E0,-2.131047100E-2,-4.586550593E-1,-1.010493279E0
7.964000000E0,-8.531169593E-2,-4.070107937E-1,-9.914168119E-1
7.988000000E0,-1.649510711E-1,-3.434109688E-1,-9.805259705E-1
